review,sentiment
I loved this movie so much,positive
Worst movie I have ever watched,negative
An excellent film with a strong plot,positive
The movie was dull and predictable,negative
I loved this movie so much,positive
One of the worst films ever made,negative
This movie was fantastic and very entertaining,positive
This movie was terrible and boring,negative
Amazing storyline and brilliant acting,positive
Bad acting and terrible direction,negative
Amazing storyline and brilliant acting,positive
The movie was dull and predictable,negative
Superb acting and great story,positive
Very boring and too long,negative
This movie was fantastic and very entertaining,positive
Completely disappointing film,negative
This movie was fantastic and very entertaining,positive
Awful storyline and poor acting,negative
One of the best movies I have seen,positive
I regret watching this film,negative
Great direction and wonderful performances,positive
Bad acting and terrible direction,negative
Great direction and wonderful performances,positive
The story was weak and acting was bad,negative
Superb acting and great story,positive
Completely disappointing film,negative
Fantastic movie with great characters,positive
This movie was terrible and boring,negative
Absolutely loved the cinematography,positive
Completely disappointing film,negative
Great direction and wonderful performances,positive
Bad acting and terrible direction,negative
Amazing storyline and brilliant acting,positive
The movie was dull and predictable,negative
This movie was fantastic and very entertaining,positive
Worst movie I have ever watched,negative
This movie was fantastic and very entertaining,positive
Very boring and too long,negative
Absolutely loved the cinematography,positive
The movie was dull and predictable,negative
Great direction and wonderful performances,positive
Awful storyline and poor acting,negative
A masterpiece and very enjoyable,positive
Completely disappointing film,negative
Absolutely loved the cinematography,positive
Bad acting and terrible direction,negative
This movie was fantastic and very entertaining,positive
Bad acting and terrible direction,negative
Absolutely loved the cinematography,positive
This movie was terrible and boring,negative
An excellent film with a strong plot,positive
The movie was dull and predictable,negative
This movie was fantastic and very entertaining,positive
This movie was terrible and boring,negative
I loved this movie so much,positive
Bad acting and terrible direction,negative
This movie was fantastic and very entertaining,positive
Very boring and too long,negative
Superb acting and great story,positive
Bad acting and terrible direction,negative
I loved this movie so much,positive
One of the worst films ever made,negative
Superb acting and great story,positive
I regret watching this film,negative
Fantastic movie with great characters,positive
I regret watching this film,negative
Superb acting and great story,positive
The movie was dull and predictable,negative
